date,city,country,temp_high_c,temp_low_c,precipitation_mm,humidity_pct,condition
2021-01-26,Tokyo,Japan,-4.4,-10.0,3.2,78.4,Drizzle
2021-01-26,Sydney,Australia,29.7,23.6,0.1,20,Sunny
2021-01-26,Cairo,Egypt,10.0,-3.9,0.1,67.4,Light Rain
2021-01-27,New York,USA,-10.1,-14.9,0.0,23.5,Overcast
2021-01-27,London,UK,-1.2,-6.4,0.0,67.3,Sunny
2021-01-27,Tokyo,Japan,-7.7,-10.1,0.0,56.0,Snow
2021-01-27,Sydney,Australia,31.5,25.1,0.0,30.0,Sunny
2021-01-27,Cairo,Egypt,4.0,-2.7,2.9,69.4,Drizzle
2021-01-28,New York,USA,-10.8,-15.6,0.2,49.4,Partly Cloudy
2021-01-28,London,UK,5.5,-8.7,0.5,70.2,Partly Cloudy
2021-01-28,Tokyo,Japan,-0.9,-11.1,0.1,68.0,Partly Cloudy
2021-01-28,Sydney,Australia,33.4,24.3,7.3,65.1,Heavy Rain
2021-01-28,Cairo,Egypt,4.6,-1.8,0.0,51.8,Partly Cloudy
2021-01-29,New York,USA,-7.8,-15.2,0.0,78.7,Cloudy
2021-01-29,London,UK,4.3,-4.7,0.0,76.1,Cloudy
2021-01-29,Tokyo,Japan,-2.4,-11.9,0.1,95.1,Sunny
2021-01-29,Sydney,Australia,26.5,20.4,0.3,40.2,Partly Cloudy
2021-01-29,Cairo,Egypt,11.0,-0.7,0.0,34.0,Partly Cloudy
2021-01-30,New York,USA,-8.7,-14.7,0.1,62.2,Cloudy
2021-01-30,London,UK,-2.1,-8.1,0.5,71.0,Snow
2021-01-30,Tokyo,Japan,-4.2,-12.7,0.6,73.5,Cloudy
2021-01-30,Sydney,Australia,30.3,25.3,0.0,46.4,Sunny
2021-01-30,Cairo,Egypt,3.2,-3.0,0.3,39.3,Snow
2021-01-31,New York,USA,-6.1,-16.2,3.0,30.5,Sunny
2021-01-31,London,UK,-0.1,-5.0,1.7,69.8,Drizzle
2021-01-31,Tokyo,Japan,-4.7,-12.8,1.3,59.7,Cloudy
2021-01-31,Sydney,Australia,25.6,21.0,0.5,50.8,Clear
2021-01-31,Cairo,Egypt,8.5,-1.4,0.0,55.1,Clear
2021-02-01,New York,USA,-7.0,-19.2,0.0,60.9,Cloudy
2021-02-01,London,UK,2.8,-3.0,0.1,82.0,Drizzle
2021-02-01,Tokyo,Japan,-2.5,-14.1,0.1,75.4,Overcast
2021-02-01,Sydney,Australia,26.5,19.9,0.2,64.3,Light Rain
2021-02-01,Cairo,Egypt,6.8,3.2,0.1,45.3,Partly Cloudy
2021-02-02,New York,USA,-13.9,-16.5,0.6,43.1,Cloudy
2021-02-02,London,UK,10.1,-5.1,0.4,80.1,Light Rain
2021-02-02,Tokyo,Japan,-1.1,-9.5,0.2,37.5,Partly Cloudy
2021-02-02,Sydney,Australia,29.8,20.8,0.1,55.1,Sunny
2021-02-02,Cairo,Egypt,6.0,-1.2,0.0,74.1,Partly Cloudy
2021-02-03,New York,USA,-7.1,-15.1,0.4,50.1,Sunny
2021-02-03,London,UK,-1.7,-5.3,0.0,48.4,Drizzle
2021-02-03,Tokyo,Japan,-5.9,-12.1,4.9,65.6,Overcast
2021-02-03,Sydney,Australia,26.7,19.8,0.0,44.0,Clear
2021-02-03,Cairo,Egypt,7.9,-0.6,0.0,99,Overcast
2021-02-04,New York,USA,-4.6,-16.5,0.3,73.9,Overcast
2021-02-04,London,UK,1.7,-6.3,1.6,86.4,Drizzle
2021-02-04,Tokyo,Japan,-5.7,-9.0,1.5,65.6,Partly Cloudy
2021-02-04,Sydney,Australia,31.9,19.4,0.1,25.8,Sunny
2021-02-04,Cairo,Egypt,12.5,1.5,0.3,84.6,Sunny
2021-02-05,New York,USA,-6.9,-14.0,0.2,87.4,Drizzle
2021-02-05,London,UK,3.0,-6.4,0.5,58.4,Overcast
2021-02-05,Tokyo,Japan,-4.9,-9.7,0.0,64.5,Snow
2021-02-05,Sydney,Australia,25.0,22.3,0.0,46.8,Cloudy
2021-02-05,Cairo,Egypt,7.5,-1.6,0.0,47.8,Cloudy
2021-02-06,New York,USA,-5.3,-13.2,2.3,63.1,Sunny
2021-02-06,London,UK,2.8,-5.9,0.2,63.9,Overcast
2021-02-06,Tokyo,Japan,-2.2,-12.7,0.1,79.6,Overcast
2021-02-06,Sydney,Australia,28.0,21.7,0.0,62.3,Sunny
2021-02-06,Cairo,Egypt,10.8,-2.8,0.0,61.4,Light Rain
2021-02-07,New York,USA,-7.9,-17.8,0.0,77.3,Cloudy
2021-02-07,London,UK,4.8,-3.6,0.4,78.1,Partly Cloudy
2021-02-07,Tokyo,Japan,-3.8,-8.4,0.6,78.4,Sunny
2021-02-07,Sydney,Australia,28.0,22.2,0.1,45.7,Light Rain
2021-02-07,Cairo,Egypt,13.0,0.0,0.0,51.7,Cloudy
2021-02-08,New York,USA,-4.5,-17.4,0.4,86.5,Cloudy
2021-02-08,London,UK,-0.7,-6.8,0.1,72.3,Overcast
2021-02-08,Tokyo,Japan,-5.0,-11.1,0.1,47.0,Drizzle
2021-02-08,Sydney,Australia,28.2,24.7,0.5,53.0,Sunny
2021-02-08,Cairo,Egypt,8.3,1.8,0.0,91.4,Light Rain
2021-02-09,New York,USA,-7.4,-18.5,0.3,89.0,Snow
2021-02-09,London,UK,2.0,-8.0,1.3,61.2,Partly Cloudy
2021-02-09,Tokyo,Japan,-5.5,-11.3,0.6,99,Snow
2021-02-09,Sydney,Australia,29.5,18.7,0.0,32.1,Sunny
2021-02-09,Cairo,Egypt,9.5,0.9,0.0,50.0,Light Rain
2021-02-10,New York,USA,-1.4,-16.8,0.1,33.5,Overcast
2021-02-10,London,UK,1.6,-2.7,5.5,52.1,Snowfall
2021-02-10,Tokyo,Japan,-3.9,-11.5,0.1,99,Sunny
2021-02-10,Sydney,Australia,28.7,18.6,0.9,22.1,Sunny
2021-02-10,Cairo,Egypt,9.4,-2.1,0.0,51.8,Partly Cloudy
2021-02-11,New York,USA,-2.6,-16.7,0.1,62.7,Drizzle
2021-02-11,London,UK,3.5,-3.4,0.3,75.5,Snow
2021-02-11,Tokyo,Japan,-4.9,-11.2,0.2,35.5,Snow
2021-02-11,Sydney,Australia,30.9,18.8,2.4,43.3,Sunny
2021-02-11,Cairo,Egypt,9.1,0.7,0.5,58.3,Partly Cloudy
2021-02-12,New York,USA,-4.3,-10.7,0.0,55.4,Snow
2021-02-12,London,UK,7.5,-2.8,0.2,66.2,Drizzle
2021-02-12,Tokyo,Japan,0.9,-9.6,0.2,81.1,Partly Cloudy
2021-02-12,Sydney,Australia,32.0,18.9,1.6,42.4,Sunny
2021-02-12,Cairo,Egypt,7.5,4.6,0.0,98.8,Cloudy
2021-02-13,New York,USA,-8.0,-12.2,0.4,73.6,Cloudy
2021-02-13,London,UK,0.0,-3.4,0.2,99,Overcast
2021-02-13,Tokyo,Japan,-4.8,-8.3,3.7,68.2,Cloudy
2021-02-13,Sydney,Australia,27.5,19.1,0.1,80.8,Light Rain
2021-02-13,Cairo,Egypt,6.9,0.4,0.2,70.9,Sunny
2021-02-14,New York,USA,-4.0,-12.9,0.0,66.8,Sunny
2021-02-14,London,UK,3.9,-6.5,0.2,64.9,Drizzle
2021-02-14,Tokyo,Japan,-0.8,-8.7,0.5,56.2,Snow
2021-02-14,Sydney,Australia,29.1,20.2,0.4,66.9,Partly Cloudy
2021-02-14,Cairo,Egypt,10.9,3.7,0.3,59.3,Cloudy
2021-02-15,New York,USA,-6.2,-15.0,8.9,88.4,Snowfall
2021-02-15,London,UK,3.0,-3.2,0.1,59.2,Cloudy
2021-02-15,Tokyo,Japan,1.1,-4.9,37.6,39.2,Snowfall
2021-02-15,Sydney,Australia,22.8,18.6,0.0,20,Sunny
2021-02-15,Cairo,Egypt,10.5,1.7,0.0,81.0,Sunny
2021-02-16,New York,USA,-7.8,-13.2,0.1,59.3,Overcast
2021-02-16,London,UK,2.6,-1.3,1.0,65.5,Partly Cloudy
2021-02-16,Tokyo,Japan,1.9,-8.4,0.0,58.6,Partly Cloudy
2021-02-16,Sydney,Australia,25.8,18.6,0.1,30.4,Light Rain
2021-02-16,Cairo,Egypt,10.6,3.4,0.0,41.6,Light Rain
2021-02-17,New York,USA,-4.5,-16.0,0.3,54.6,Partly Cloudy
2021-02-17,London,UK,2.7,-6.3,0.8,71.1,Drizzle
2021-02-17,Tokyo,Japan,0.2,-8.1,3.0,64.6,Overcast
2021-02-17,Sydney,Australia,28.1,21.0,0.3,43.9,Partly Cloudy
2021-02-17,Cairo,Egypt,10.4,1.2,0.7,54.3,Clear
2021-02-18,New York,USA,-5.9,-14.4,0.8,46.9,Sunny
2021-02-18,London,UK,4.5,-5.1,0.2,68.2,Overcast
2021-02-18,Tokyo,Japan,2.1,-9.1,0.6,62.5,Snow
2021-02-18,Sydney,Australia,27.4,14.8,1.1,63.9,Sunny
2021-02-18,Cairo,Egypt,8.0,-0.2,0.4,24.1,Partly Cloudy
2021-02-19,New York,USA,-3.9,-12.0,1.9,34.1,Sunny
2021-02-19,London,UK,7.2,-5.1,0.1,53.0,Cloudy
2021-02-19,Tokyo,Japan,-0.6,-6.6,0.1,72.1,Partly Cloudy
2021-02-19,Sydney,Australia,28.1,16.0,0.2,48.9,Hazy
2021-02-19,Cairo,Egypt,9.7,1.6,0.0,85.2,Light Rain
2021-02-20,New York,USA,-3.0,-10.0,6.4,88.0,Snowfall
2021-02-20,London,UK,4.0,-2.8,1.2,99,Drizzle
2021-02-20,Tokyo,Japan,2.0,-7.8,0.2,94.1,Partly Cloudy
2021-02-20,Sydney,Australia,28.8,16.5,0.3,37.3,Sunny
2021-02-20,Cairo,Egypt,9.4,1.1,0.0,55.8,Light Rain
2021-02-21,New York,USA,-0.9,-11.4,0.1,86.4,Overcast
2021-02-21,London,UK,5.1,-2.9,0.9,80.5,Cloudy
2021-02-21,Tokyo,Japan,2.0,-6.4,0.2,31.7,Sunny
2021-02-21,Sydney,Australia,24.4,17.1,0.0,73.7,Partly Cloudy
2021-02-21,Cairo,Egypt,10.4,5.9,0.0,49.9,Sunny
2021-02-22,New York,USA,-2.2,-10.3,0.4,63.9,Partly Cloudy
2021-02-22,London,UK,4.8,-3.3,0.2,71.8,Sunny
2021-02-22,Tokyo,Japan,0.8,-7.1,0.7,52.8,Sunny
2021-02-22,Sydney,Australia,28.1,17.0,0.5,44.1,Sunny
2021-02-22,Cairo,Egypt,15.2,2.0,0.0,64.7,Partly Cloudy
2021-02-23,New York,USA,-4.5,-8.0,0.2,59.6,Partly Cloudy
2021-02-23,London,UK,0.5,-5.7,0.1,25.5,Cloudy
2021-02-23,Tokyo,Japan,6.4,-6.5,6.0,75.6,Heavy Rain
2021-02-23,Sydney,Australia,22.4,19.7,0.1,38.7,Clear
2021-02-23,Cairo,Egypt,11.5,1.0,0.0,99,Partly Cloudy
2021-02-24,New York,USA,-0.4,-13.7,0.0,52.5,Snow
2021-02-24,London,UK,5.5,-4.4,0.4,73.8,Sunny
2021-02-24,Tokyo,Japan,-1.2,-8.2,0.3,71.0,Cloudy
2021-02-24,Sydney,Australia,24.1,16.6,0.5,62.6,Partly Cloudy
2021-02-24,Cairo,Egypt,13.0,-1.3,0.1,20,Light Rain
2021-02-25,New York,USA,1.9,-12.1,0.2,39.2,Cloudy
2021-02-25,London,UK,4.0,-1.3,0.0,48.3,Snow
2021-02-25,Tokyo,Japan,4.4,-5.6,2.1,67.4,Cloudy
2021-02-25,Sydney,Australia,27.1,17.6,0.1,75.3,Light Rain
2021-02-25,Cairo,Egypt,9.8,4.0,1.6,91.9,Partly Cloudy
2021-02-26,New York,USA,-3.3,-13.4,1.1,75.1,Sunny
2021-02-26,London,UK,4.7,-1.2,0.2,58.8,Drizzle
2021-02-26,Tokyo,Japan,1.6,-8.4,0.1,53.2,Snow
2021-02-26,Sydney,Australia,26.5,19.8,1.7,39.8,Partly Cloudy
2021-02-26,Cairo,Egypt,11.1,4.8,0.1,53.2,Sunny
2021-02-27,New York,USA,-1.3,-10.7,0.3,52.7,Cloudy
2021-02-27,London,UK,6.2,-3.6,0.0,46.5,Sunny
2021-02-27,Tokyo,Japan,-0.8,-5.1,1.7,79.6,Drizzle
2021-02-27,Sydney,Australia,25.2,18.4,0.4,65.5,Partly Cloudy
2021-02-27,Cairo,Egypt,9.7,5.7,0.0,58.6,Clear
2021-02-28,New York,USA,4.3,-7.9,0.1,55.5,Drizzle
2021-02-28,London,UK,5.3,0.5,1.4,41.6,Partly Cloudy
2021-02-28,Tokyo,Japan,1.1,-2.8,0.0,47.6,Sunny
2021-02-28,Sydney,Australia,27.4,20.8,0.0,62.0,Sunny
2021-02-28,Cairo,Egypt,14.1,3.6,0.3,32.0,Clear
2021-03-01,New York,USA,-2.3,-10.0,3.7,85.5,Drizzle
2021-03-01,London,UK,4.5,-3.6,0.0,69.9,Overcast
2021-03-01,Tokyo,Japan,0.1,-7.9,0.7,65.9,Partly Cloudy
2021-03-01,Sydney,Australia,25.1,17.3,3.4,37.6,Sunny
2021-03-01,Cairo,Egypt,12.0,2.9,0.0,76.5,Light Rain
2021-03-02,New York,USA,-3.0,-8.4,0.0,68.7,Cloudy
2021-03-02,London,UK,4.4,-1.2,0.1,52.7,Cloudy
2021-03-02,Tokyo,Japan,8.8,-7.5,0.1,58.4,Cloudy
2021-03-02,Sydney,Australia,27.1,16.7,0.1,47.4,Partly Cloudy
2021-03-02,Cairo,Egypt,9.2,4.5,0.3,74.5,Cloudy
2021-03-03,New York,USA,1.5,-7.7,3.2,65.4,Snow
2021-03-03,London,UK,6.6,-1.3,1.0,54.1,Snow
2021-03-03,Tokyo,Japan,7.0,-6.2,0.2,58.9,Cloudy
2021-03-03,Sydney,Australia,22.8,18.4,0.0,96.0,Clear
2021-03-03,Cairo,Egypt,11.7,1.7,0.0,82.0,Cloudy
2021-03-04,New York,USA,-3.8,-11.4,0.8,37.8,Overcast
2021-03-04,London,UK,9.0,-2.5,2.3,61.9,Light Rain
2021-03-04,Tokyo,Japan,3.1,-4.7,0.9,69.8,Overcast
2021-03-04,Sydney,Australia,25.0,16.9,0.5,67.4,Light Rain
2021-03-04,Cairo,Egypt,13.8,6.8,0.1,64.7,Clear
2021-03-05,New York,USA,-0.7,-9.3,0.3,50.7,Cloudy
2021-03-05,London,UK,8.3,-4.8,0.1,66.7,Light Rain
2021-03-05,Tokyo,Japan,4.6,-6.0,0.3,75.2,Overcast
2021-03-05,Sydney,Australia,25.3,18.0,0.3,58.0,Partly Cloudy
2021-03-05,Cairo,Egypt,11.8,4.0,0.0,90.1,Partly Cloudy
2021-03-06,New York,USA,-1.3,-8.6,0.1,20.1,Partly Cloudy
2021-03-06,London,UK,7.0,-0.8,0.2,58.4,Snow
2021-03-06,Tokyo,Japan,2.6,-5.2,0.0,88.5,Sunny
2021-03-06,Sydney,Australia,23.3,15.7,0.1,74.8,Light Rain
2021-03-06,Cairo,Egypt,15.5,5.4,0.1,23.6,Partly Cloudy
2021-03-07,New York,USA,-3.0,-9.2,0.5,62.5,Cloudy
2021-03-07,London,UK,4.4,0.2,0.2,94.9,Sunny
2021-03-07,Tokyo,Japan,5.9,-2.8,0.0,56.2,Overcast
2021-03-07,Sydney,Australia,21.1,17.8,0.0,20,Clear
2021-03-07,Cairo,Egypt,13.7,11.5,0.2,66.6,Cloudy
2021-03-08,New York,USA,-1.1,-8.2,0.0,55.2,Snow
2021-03-08,London,UK,5.4,-3.7,1.2,41.5,Cloudy
2021-03-08,Tokyo,Japan,6.7,-5.7,0.1,78.0,Snow
2021-03-08,Sydney,Australia,20.3,18.3,0.0,50.0,Light Rain
2021-03-08,Cairo,Egypt,13.6,7.1,0.7,69.5,Sunny
2021-03-09,New York,USA,1.0,-5.9,0.1,66.8,Overcast
2021-03-09,London,UK,8.2,1.4,0.7,64.1,Partly Cloudy
2021-03-09,Tokyo,Japan,6.1,-5.2,0.1,93.0,Cloudy
2021-03-09,Sydney,Australia,21.7,17.2,0.0,36.8,Partly Cloudy
2021-03-09,Cairo,Egypt,16.4,4.0,0.3,39.0,Clear
2021-03-10,New York,USA,-0.1,-7.7,2.0,79.7,Snow
2021-03-10,London,UK,9.8,-1.5,0.5,71.2,Partly Cloudy
2021-03-10,Tokyo,Japan,5.6,-2.5,0.1,52.6,Snow
2021-03-10,Sydney,Australia,21.8,18.6,0.1,99,Sunny
2021-03-10,Cairo,Egypt,14.6,5.7,0.1,61.8,Cloudy
2021-03-11,New York,USA,3.7,-7.0,0.7,68.9,Snow
2021-03-11,London,UK,10.7,1.0,0.8,29.7,Partly Cloudy
2021-03-11,Tokyo,Japan,9.8,-5.2,0.3,36.1,Sunny
2021-03-11,Sydney,Australia,25.3,14.6,0.5,49.4,Clear
2021-03-11,Cairo,Egypt,18.1,7.3,0.0,39.1,Sunny
2021-03-12,New York,USA,1.6,-8.2,0.4,63.6,Drizzle
2021-03-12,London,UK,8.6,-2.5,0.2,54.3,Cloudy
2021-03-12,Tokyo,Japan,2.0,-3.6,0.0,85.7,Sunny
2021-03-12,Sydney,Australia,23.9,17.1,0.2,54.0,Sunny
2021-03-12,Cairo,Egypt,13.4,7.0,0.0,50.6,Sunny
2021-03-13,New York,USA,0.0,-9.4,0.3,99.0,Overcast
2021-03-13,London,UK,4.8,-0.2,0.9,63.6,Sunny
2021-03-13,Tokyo,Japan,5.3,-1.2,5.6,59.6,Heavy Rain
2021-03-13,Sydney,Australia,26.2,17.0,0.0,78.3,Cloudy
2021-03-13,Cairo,Egypt,16.5,5.5,0.2,44.7,Clear
2021-03-14,New York,USA,4.7,-6.5,0.0,37.1,Snow
2021-03-14,London,UK,10.0,0.2,0.1,46.6,Sunny
2021-03-14,Tokyo,Japan,5.7,-2.3,0.1,69.1,Sunny
2021-03-14,Sydney,Australia,25.6,13.7,0.2,34.1,Partly Cloudy
2021-03-14,Cairo,Egypt,19.6,9.1,0.0,65.1,Clear
2021-03-15,New York,USA,0.4,-4.4,2.0,48.2,Drizzle
2021-03-15,London,UK,8.8,0.2,0.4,62.9,Cloudy
2021-03-15,Tokyo,Japan,2.6,-0.4,0.7,60.3,Partly Cloudy
