Group,Date,Team,Opponent,Side,City,Venue
Group B,2026-06-24T19:00Z,Bosnia-Herzegovina,Qatar,home,"Seattle, Washington",Lumen Field
Group B,2026-06-24T19:00Z,Qatar,Bosnia-Herzegovina,away,"Seattle, Washington",Lumen Field
Group B,2026-06-24T19:00Z,Switzerland,Canada,home,Vancouver,BC Place
Group B,2026-06-24T19:00Z,Canada,Switzerland,away,Vancouver,BC Place
Group C,2026-06-24T22:00Z,Morocco,Haiti,home,"Atlanta, Georgia",Mercedes-Benz Stadium
Group C,2026-06-24T22:00Z,Haiti,Morocco,away,"Atlanta, Georgia",Mercedes-Benz Stadium
Group C,2026-06-24T22:00Z,Scotland,Brazil,home,"Miami Gardens, Florida",Hard Rock Stadium
Group C,2026-06-24T22:00Z,Brazil,Scotland,away,"Miami Gardens, Florida",Hard Rock Stadium
Group A,2026-06-25T01:00Z,Czechia,Mexico,home,Mexico City,Estadio Banorte
Group A,2026-06-25T01:00Z,Mexico,Czechia,away,Mexico City,Estadio Banorte
Group A,2026-06-25T01:00Z,South Africa,South Korea,home,Guadalupe,Estadio BBVA
Group A,2026-06-25T01:00Z,South Korea,South Africa,away,Guadalupe,Estadio BBVA
Group E,2026-06-25T20:00Z,Curaçao,Ivory Coast,home,"Philadelphia, Pennsylvania",Lincoln Financial Field
Group E,2026-06-25T20:00Z,Ivory Coast,Curaçao,away,"Philadelphia, Pennsylvania",Lincoln Financial Field
Group E,2026-06-25T20:00Z,Ecuador,Germany,home,"East Rutherford, New Jersey",MetLife Stadium
Group E,2026-06-25T20:00Z,Germany,Ecuador,away,"East Rutherford, New Jersey",MetLife Stadium
Group F,2026-06-25T23:00Z,Japan,Sweden,home,"Arlington, Texas",AT&T Stadium
Group F,2026-06-25T23:00Z,Sweden,Japan,away,"Arlington, Texas",AT&T Stadium
Group F,2026-06-25T23:00Z,Tunisia,Netherlands,home,"Kansas City, Missouri",GEHA Field at Arrowhead Stadium
Group F,2026-06-25T23:00Z,Netherlands,Tunisia,away,"Kansas City, Missouri",GEHA Field at Arrowhead Stadium
Group D,2026-06-26T02:00Z,Paraguay,Australia,home,"Santa Clara, California",Levi's Stadium
Group D,2026-06-26T02:00Z,Australia,Paraguay,away,"Santa Clara, California",Levi's Stadium
Group D,2026-06-26T02:00Z,Turkey,United States,home,"Inglewood, California",SoFi Stadium
Group D,2026-06-26T02:00Z,United States,Turkey,away,"Inglewood, California",SoFi Stadium
Group I,2026-06-26T19:00Z,Norway,France,home,"Foxborough, Massachusetts",Gillette Stadium
Group I,2026-06-26T19:00Z,France,Norway,away,"Foxborough, Massachusetts",Gillette Stadium
Group I,2026-06-26T19:00Z,Senegal,Iraq,home,Toronto,BMO Field
Group I,2026-06-26T19:00Z,Iraq,Senegal,away,Toronto,BMO Field
Group H,2026-06-27T00:00Z,Cape Verde,Saudi Arabia,home,"Houston, Texas",NRG Stadium
Group H,2026-06-27T00:00Z,Saudi Arabia,Cape Verde,away,"Houston, Texas",NRG Stadium
Group H,2026-06-27T00:00Z,Uruguay,Spain,home,Guadalajara,Estadio Akron
Group H,2026-06-27T00:00Z,Spain,Uruguay,away,Guadalajara,Estadio Akron
Group G,2026-06-27T03:00Z,Egypt,Iran,home,"Seattle, Washington",Lumen Field
Group G,2026-06-27T03:00Z,Iran,Egypt,away,"Seattle, Washington",Lumen Field
Group G,2026-06-27T03:00Z,New Zealand,Belgium,home,Vancouver,BC Place
Group G,2026-06-27T03:00Z,Belgium,New Zealand,away,Vancouver,BC Place
Group L,2026-06-27T21:00Z,Croatia,Ghana,home,"Philadelphia, Pennsylvania",Lincoln Financial Field
Group L,2026-06-27T21:00Z,Ghana,Croatia,away,"Philadelphia, Pennsylvania",Lincoln Financial Field
Group L,2026-06-27T21:00Z,Panama,England,home,"East Rutherford, New Jersey",MetLife Stadium
Group L,2026-06-27T21:00Z,England,Panama,away,"East Rutherford, New Jersey",MetLife Stadium
Group K,2026-06-27T23:30Z,Colombia,Portugal,home,"Miami Gardens, Florida",Hard Rock Stadium
Group K,2026-06-27T23:30Z,Portugal,Colombia,away,"Miami Gardens, Florida",Hard Rock Stadium
Group K,2026-06-27T23:30Z,DR Congo,Uzbekistan,home,"Atlanta, Georgia",Mercedes-Benz Stadium
Group K,2026-06-27T23:30Z,Uzbekistan,DR Congo,away,"Atlanta, Georgia",Mercedes-Benz Stadium
Group J,2026-06-28T02:00Z,Algeria,Austria,home,"Kansas City, Missouri",GEHA Field at Arrowhead Stadium
Group J,2026-06-28T02:00Z,Austria,Algeria,away,"Kansas City, Missouri",GEHA Field at Arrowhead Stadium
Group J,2026-06-28T02:00Z,Jordan,Argentina,home,"Arlington, Texas",AT&T Stadium
Group J,2026-06-28T02:00Z,Argentina,Jordan,away,"Arlington, Texas",AT&T Stadium
