date,gdp_growth_pct,unemployment_pct,cpi_yoy_pct,fed_funds_rate,sp500_close
2022-07-01,1.1,6.8,8.8,3.94,9079.54
2022-08-01,2.5,6.8,8.5,4.46,8753.28
2022-09-01,3.1,6.8,8.1,4.5,8716.05
2022-10-01,1.7,6.8,7.6,4.5,8851.1
2022-11-01,3.0,6.8,7.2,4.5,8437.63
2022-12-01,1.4,6.9,7.0,4.5,8334.11
2023-01-01,2.5,6.9,6.6,4.78,8391.67
2023-02-01,2.9,6.9,6.4,4.88,8578.82
2023-03-01,1.8,6.9,5.8,5.08,8573.3
2023-04-01,3.5,6.9,5.7,5.19,8299.66
2023-05-01,3.7,6.8,5.5,5.36,8523.45
2023-06-01,3.2,6.7,5.3,5.5,8694.08
2023-07-01,2.8,6.7,4.9,5.5,9034.11
2023-08-01,1.8,6.7,4.5,5.5,9489.9
2023-09-01,2.7,6.7,4.1,5.5,9744.1
2023-10-01,3.2,6.7,3.8,5.5,10294.44
2023-11-01,1.8,6.7,3.5,5.5,10667.26
2023-12-01,2.2,6.8,3.1,5.5,10523.6
2024-01-01,3.0,6.8,3.0,5.45,10851.01
2024-02-01,2.8,6.7,2.9,5.42,10872.42
2024-03-01,2.9,6.7,2.8,5.34,11629.55
2024-04-01,2.5,6.7,2.7,5.31,11833.37
2024-05-01,3.0,6.5,2.5,5.27,11659.86
2024-06-01,2.5,6.5,2.4,5.25,11521.87
2024-07-01,2.9,6.4,2.4,5.25,11593.22
2024-08-01,3.3,6.4,2.4,5.25,11601.37
2024-09-01,2.9,6.4,2.4,5.25,11287.82
2024-10-01,3.2,6.3,2.4,5.25,11849.58
2024-11-01,3.3,6.2,2.4,5.25,12144.04
2024-12-01,3.5,6.1,2.4,5.25,11491.78
