result_id,race_id,driver_id,grid,position,points,laps,status,fastest_lap,fastest_lap_ms
46,3,10,10,6,8.0,55,Finished,False,
47,3,8,4,7,6.0,55,Finished,False,
48,3,6,3,8,4.0,55,Finished,False,
49,3,14,19,9,2.0,55,Finished,False,
50,3,20,12,10,1.0,55,Finished,False,
51,3,13,9,11,0.0,55,Finished,False,
52,3,11,11,12,0.0,55,Finished,False,
53,3,12,13,13,0.0,55,Finished,False,
54,3,16,20,14,0.0,55,Finished,False,
55,3,18,16,15,0.0,55,Finished,False,
56,3,19,15,16,0.0,54,Finished,False,
57,3,15,17,17,0.0,54,Finished,False,
58,3,9,14,,0.0,8,Accident,False,
59,3,17,18,,0.0,7,Mechanical,False,
60,3,7,8,,0.0,11,DNF,False,
61,4,1,1,1,25.0,67,Finished,False,
62,4,6,2,2,18.0,67,Finished,False,
63,4,8,4,3,15.0,67,Finished,False,
64,4,5,5,4,12.0,67,Finished,False,
65,4,2,3,5,10.0,67,Finished,False,
66,4,4,8,6,8.0,67,Finished,False,
67,4,9,10,7,6.0,67,Finished,False,
68,4,14,12,8,5.0,67,Finished,True,80775
69,4,18,11,9,2.0,67,Finished,False,
70,4,13,18,10,1.0,67,Finished,False,
71,4,17,15,11,0.0,67,Finished,False,
72,4,12,13,12,0.0,67,Finished,False,
73,4,20,14,13,0.0,67,Finished,False,
74,4,16,17,14,0.0,67,Finished,False,
75,4,11,16,15,0.0,67,Finished,False,
76,4,19,20,16,0.0,66,Finished,False,
77,4,15,19,17,0.0,66,Finished,False,
78,4,10,9,,0.0,46,DNF,False,
79,4,3,6,,0.0,6,Accident,False,
80,4,7,7,,0.0,49,DNF,False,
81,5,1,1,1,26.0,55,Finished,True,95640
82,5,4,3,2,18.0,55,Finished,False,
83,5,2,2,3,15.0,55,Finished,False,
84,5,5,7,4,12.0,55,Finished,False,
85,5,7,5,5,10.0,55,Finished,False,
86,5,6,4,6,8.0,55,Finished,False,
87,5,3,10,7,6.0,55,Finished,False,
88,5,8,8,8,4.0,55,Finished,False,
89,5,10,15,9,2.0,55,Finished,False,
90,5,11,6,10,1.0,55,Finished,False,
91,5,9,9,11,0.0,55,Finished,False,
92,5,12,11,12,0.0,55,Finished,False,
93,5,20,13,13,0.0,55,Finished,False,
94,5,15,14,14,0.0,55,Finished,False,
95,5,14,20,15,0.0,55,Finished,False,
96,5,18,16,16,0.0,54,Finished,False,
97,5,17,17,17,0.0,54,Finished,False,
98,5,16,19,18,0.0,54,Finished,False,
99,5,19,18,19,0.0,54,Finished,False,
100,5,13,12,,0.0,8,DNF,False,
101,6,1,1,1,25.0,54,Finished,False,
102,6,2,5,2,19.0,54,Finished,True,83400
103,6,6,4,3,15.0,54,Finished,False,
104,6,8,8,4,12.0,54,Finished,False,
105,6,3,7,5,10.0,54,Finished,False,
106,6,4,3,6,8.0,54,Finished,False,
107,6,5,2,7,6.0,54,Finished,False,
108,6,7,6,8,4.0,54,Finished,False,
109,6,9,9,9,2.0,54,Finished,False,
110,6,20,16,10,1.0,54,Finished,False,
111,6,11,10,11,0.0,54,Finished,False,
112,6,12,19,12,0.0,54,Finished,False,
113,6,15,11,13,0.0,54,Finished,False,
114,6,14,14,14,0.0,54,Finished,False,
115,6,16,17,15,0.0,54,Finished,False,
116,6,13,15,16,0.0,53,Finished,False,
117,6,17,12,17,0.0,53,Finished,False,
118,6,18,18,18,0.0,53,Finished,False,
119,6,19,20,19,0.0,53,Finished,False,
120,6,10,13,,0.0,19,DNF,False,
121,7,1,1,1,25.0,55,Finished,False,
122,7,2,4,2,18.0,55,Finished,False,
123,7,3,6,3,15.0,55,Finished,False,
124,7,4,3,4,12.0,55,Finished,False,
125,7,8,9,5,10.0,55,Finished,False,
126,7,5,8,6,8.0,55,Finished,False,
127,7,6,2,7,6.0,55,Finished,False,
128,7,7,5,8,4.0,55,Finished,False,
129,7,11,11,9,2.0,55,Finished,False,
130,7,9,10,10,2.0,55,Finished,True,84064
131,7,13,15,11,0.0,55,Finished,False,
132,7,12,12,12,0.0,55,Finished,False,
133,7,20,13,13,0.0,55,Finished,False,
134,7,14,17,14,0.0,55,Finished,False,
135,7,16,16,15,0.0,55,Finished,False,
136,7,17,14,16,0.0,54,Finished,False,
137,7,15,19,17,0.0,54,Finished,False,
138,7,18,18,18,0.0,54,Finished,False,
139,7,10,7,,0.0,18,DNF,False,
140,7,19,20,,0.0,14,Accident,False,
141,8,1,1,1,25.0,52,Finished,False,
142,8,2,2,2,18.0,52,Finished,False,
143,8,7,5,3,15.0,52,Finished,False,
144,8,4,6,4,12.0,52,Finished,False,
145,8,6,8,5,11.0,52,Finished,True,80454
146,8,8,3,6,8.0,52,Finished,False,
147,8,3,4,7,6.0,52,Finished,False,
148,8,10,14,8,4.0,52,Finished,False,
149,8,9,9,9,2.0,52,Finished,False,
150,8,12,12,10,1.0,52,Finished,False,
151,8,11,10,11,0.0,52,Finished,False,
152,8,13,15,12,0.0,52,Finished,False,
153,8,14,11,13,0.0,52,Finished,False,
154,8,20,17,14,0.0,52,Finished,False,
155,8,17,16,15,0.0,52,Finished,False,
156,8,16,13,16,0.0,51,Finished,False,
157,8,15,19,17,0.0,51,Finished,False,
158,8,18,18,18,0.0,51,Finished,False,
159,8,19,20,19,0.0,51,Finished,False,
160,8,5,7,,0.0,30,DNF,False,
161,9,1,1,1,25.0,68,Finished,False,
162,9,2,2,2,18.0,68,Finished,False,
163,9,4,4,3,15.0,68,Finished,False,
164,9,6,5,4,12.0,68,Finished,False,
165,9,8,3,5,10.0,68,Finished,False,
166,9,3,6,6,9.0,68,Finished,True,82060
167,9,5,9,7,6.0,68,Finished,False,
168,9,9,7,8,4.0,68,Finished,False,
169,9,10,12,9,2.0,68,Finished,False,
170,9,14,15,10,1.0,68,Finished,False,
171,9,17,14,11,0.0,68,Finished,False,
172,9,13,18,12,0.0,68,Finished,False,
173,9,12,10,13,0.0,68,Finished,False,
174,9,11,11,14,0.0,68,Finished,False,
175,9,15,13,15,0.0,68,Finished,False,
176,9,19,17,16,0.0,67,Finished,False,
177,9,18,16,17,0.0,67,Finished,False,
178,9,16,19,18,0.0,67,Finished,False,
179,9,20,20,,0.0,55,DNF,False,
180,9,7,8,,0.0,46,DNF,False,
181,10,1,1,1,25.0,59,Finished,False,
182,10,2,3,2,18.0,59,Finished,False,
183,10,5,4,3,15.0,59,Finished,False,
184,10,3,5,4,13.0,59,Finished,True,88086
185,10,7,8,5,10.0,59,Finished,False,
186,10,8,9,6,8.0,59,Finished,False,
187,10,6,7,7,6.0,59,Finished,False,
188,10,4,2,8,4.0,59,Finished,False,
189,10,11,17,9,2.0,59,Finished,False,
190,10,14,14,10,1.0,59,Finished,False,
191,10,12,18,11,0.0,59,Finished,False,
192,10,10,16,12,0.0,59,Finished,False,
193,10,17,19,13,0.0,59,Finished,False,
194,10,18,11,14,0.0,59,Finished,False,
195,10,19,20,15,0.0,59,Finished,False,
196,10,13,12,16,0.0,58,Finished,False,
197,10,16,10,17,0.0,58,Finished,False,
198,10,20,15,18,0.0,58,Finished,False,
199,10,9,6,,0.0,52,Mechanical,False,
200,10,15,13,,0.0,34,DNF,False,
201,11,1,1,1,25.0,60,Finished,False,
202,11,2,7,2,18.0,60,Finished,False,
203,11,3,5,3,15.0,60,Finished,False,
204,11,5,2,4,12.0,60,Finished,False,
205,11,8,3,5,10.0,60,Finished,False,
206,11,4,4,6,8.0,60,Finished,False,
207,11,7,8,7,6.0,60,Finished,False,
208,11,10,11,8,4.0,60,Finished,False,
209,11,9,9,9,2.0,60,Finished,False,
210,11,12,14,10,2.0,60,Finished,True,96502
211,11,11,12,11,0.0,60,Finished,False,
212,11,15,17,12,0.0,60,Finished,False,
213,11,16,15,13,0.0,60,Finished,False,
214,11,14,18,14,0.0,60,Finished,False,
215,11,19,20,15,0.0,60,Finished,False,
216,11,20,10,16,0.0,59,Finished,False,
217,11,18,16,17,0.0,59,Finished,False,
218,11,17,19,18,0.0,59,Finished,False,
219,11,13,13,,0.0,4,Accident,False,
220,11,6,6,,0.0,40,Mechanical,False,
221,12,1,2,1,25.0,52,Finished,False,
222,12,2,1,2,18.0,52,Finished,False,
223,12,8,8,3,15.0,52,Finished,False,
224,12,5,7,4,12.0,52,Finished,False,
225,12,4,3,5,10.0,52,Finished,False,
226,12,7,4,6,8.0,52,Finished,False,
227,12,6,6,7,7.0,52,Finished,True,91997
228,12,9,9,8,4.0,52,Finished,False,
229,12,3,5,9,2.0,52,Finished,False,
230,12,11,14,10,1.0,52,Finished,False,
231,12,10,11,11,0.0,52,Finished,False,
232,12,14,13,12,0.0,52,Finished,False,
233,12,15,19,13,0.0,52,Finished,False,
234,12,13,16,14,0.0,52,Finished,False,
235,12,12,12,15,0.0,52,Finished,False,
236,12,20,10,16,0.0,51,Finished,False,
237,12,19,20,17,0.0,51,Finished,False,
238,12,18,15,18,0.0,51,Finished,False,
239,12,17,17,19,0.0,51,Finished,False,
240,12,16,18,20,0.0,51,Finished,False,
241,13,1,1,1,25.0,58,Finished,False,
242,13,2,2,2,18.0,58,Finished,False,
243,13,5,6,3,15.0,58,Finished,False,
244,13,3,3,4,12.0,58,Finished,False,
245,13,7,10,5,10.0,58,Finished,False,
246,13,4,5,6,8.0,58,Finished,False,
247,13,8,7,7,7.0,58,Finished,True,90023
248,13,6,4,8,4.0,58,Finished,False,
249,13,15,15,9,2.0,58,Finished,False,
250,13,9,9,10,1.0,58,Finished,False,
251,13,11,14,11,0.0,58,Finished,False,
252,13,14,18,12,0.0,58,Finished,False,
253,13,12,16,13,0.0,58,Finished,False,
254,13,20,11,14,0.0,58,Finished,False,
255,13,13,13,15,0.0,58,Finished,False,
256,13,16,19,16,0.0,57,Finished,False,
257,13,19,20,17,0.0,57,Finished,False,
258,13,17,12,,0.0,4,Accident,False,
259,13,18,17,,0.0,23,DNF,False,
260,13,10,8,,0.0,34,DNF,False,
261,14,1,1,1,25.0,63,Finished,False,
262,14,5,4,2,19.0,63,Finished,True,85360
263,14,4,8,3,15.0,63,Finished,False,
264,14,2,3,4,12.0,63,Finished,False,
265,14,6,6,5,10.0,63,Finished,False,
266,14,3,2,6,8.0,63,Finished,False,
267,14,8,5,7,6.0,63,Finished,False,
268,14,7,7,8,4.0,63,Finished,False,
269,14,9,9,9,2.0,63,Finished,False,
270,14,10,13,10,1.0,63,Finished,False,
271,14,20,10,11,0.0,63,Finished,False,
272,14,13,16,12,0.0,63,Finished,False,
273,14,11,12,13,0.0,63,Finished,False,
274,14,12,17,14,0.0,63,Finished,False,
275,14,15,15,15,0.0,63,Finished,False,
276,14,14,19,16,0.0,62,Finished,False,
277,14,19,20,17,0.0,62,Finished,False,
278,14,16,18,18,0.0,62,Finished,False,
279,14,17,14,,0.0,21,DNF,False,
280,14,18,11,,0.0,26,DNF,False,
281,15,1,1,1,25.0,61,Finished,False,
282,15,2,4,2,18.0,61,Finished,False,
283,15,4,2,3,15.0,61,Finished,False,
284,15,6,7,4,13.0,61,Finished,True,85914
285,15,7,5,5,10.0,61,Finished,False,
286,15,8,3,6,8.0,61,Finished,False,
287,15,9,12,7,6.0,61,Finished,False,
288,15,14,15,8,4.0,61,Finished,False,
289,15,13,18,9,2.0,61,Finished,False,
290,15,10,9,10,1.0,61,Finished,False,
291,15,20,11,11,0.0,61,Finished,False,
292,15,12,13,12,0.0,61,Finished,False,
293,15,16,14,13,0.0,61,Finished,False,
294,15,18,17,14,0.0,61,Finished,False,
295,15,11,16,15,0.0,61,Finished,False,
296,15,17,20,16,0.0,60,Finished,False,
297,15,15,10,17,0.0,60,Finished,False,
298,15,19,19,18,0.0,60,Finished,False,
299,15,3,6,,0.0,19,DNF,False,
300,15,5,8,,0.0,13,DNF,False,
301,16,1,1,1,26.0,57,Finished,True,87831
302,16,2,3,2,18.0,57,Finished,False,
303,16,4,2,3,15.0,57,Finished,False,
304,16,7,7,4,12.0,57,Finished,False,
305,16,6,5,5,10.0,57,Finished,False,
306,16,3,8,6,8.0,57,Finished,False,
307,16,8,4,7,6.0,57,Finished,False,
308,16,12,10,8,4.0,57,Finished,False,
309,16,10,11,9,2.0,57,Finished,False,
310,16,9,9,10,1.0,57,Finished,False,
311,16,13,14,11,0.0,57,Finished,False,
312,16,11,12,12,0.0,57,Finished,False,
313,16,16,19,13,0.0,57,Finished,False,
314,16,19,18,14,0.0,57,Finished,False,
315,16,20,13,15,0.0,57,Finished,False,
316,16,14,20,16,0.0,56,Finished,False,
317,16,15,17,17,0.0,56,Finished,False,
318,16,17,15,18,0.0,56,Finished,False,
319,16,18,16,19,0.0,56,Finished,False,
320,16,5,6,,0.0,39,DNF,False,
321,17,1,1,1,25.0,57,Finished,False,
322,17,2,4,2,18.0,57,Finished,False,
323,17,4,2,3,15.0,57,Finished,False,
324,17,5,5,4,13.0,57,Finished,True,84189
325,17,8,6,5,10.0,57,Finished,False,
326,17,7,7,6,8.0,57,Finished,False,
327,17,6,8,7,6.0,57,Finished,False,
328,17,3,3,8,4.0,57,Finished,False,
329,17,9,9,9,2.0,57,Finished,False,
330,17,12,15,10,1.0,57,Finished,False,
331,17,11,11,11,0.0,57,Finished,False,
332,17,20,16,12,0.0,57,Finished,False,
333,17,14,17,13,0.0,57,Finished,False,
334,17,15,13,14,0.0,57,Finished,False,
335,17,19,20,15,0.0,57,Finished,False,
336,17,18,14,16,0.0,56,Finished,False,
337,17,13,19,17,0.0,56,Finished,False,
338,17,17,10,18,0.0,56,Finished,False,
339,17,16,18,,0.0,22,Mechanical,False,
340,17,10,12,,0.0,3,Mechanical,False,
341,18,1,1,1,25.0,65,Finished,False,
342,18,6,5,2,18.0,65,Finished,False,
343,18,4,4,3,15.0,65,Finished,False,
344,18,3,3,4,12.0,65,Finished,False,
345,18,2,2,5,10.0,65,Finished,False,
346,18,8,8,6,8.0,65,Finished,False,
347,18,5,7,7,6.0,65,Finished,False,
348,18,9,9,8,4.0,65,Finished,False,
349,18,7,6,9,2.0,65,Finished,False,
350,18,18,20,10,2.0,65,Finished,True,91549
351,18,13,19,11,0.0,65,Finished,False,
352,18,20,13,12,0.0,65,Finished,False,
353,18,12,10,13,0.0,65,Finished,False,
354,18,11,14,14,0.0,65,Finished,False,
355,18,15,15,15,0.0,65,Finished,False,
356,18,14,16,16,0.0,64,Finished,False,
357,18,19,17,17,0.0,64,Finished,False,
358,18,16,18,,0.0,17,Accident,False,
359,18,17,11,,0.0,5,DNF,False,
360,18,10,12,,0.0,50,Accident,False,
361,19,1,1,1,25.0,64,Finished,False,
362,19,5,6,2,18.0,64,Finished,False,
363,19,3,3,3,15.0,64,Finished,False,
364,19,2,2,4,12.0,64,Finished,False,
365,19,7,8,5,10.0,64,Finished,False,
366,19,8,4,6,8.0,64,Finished,False,
367,19,6,5,7,6.0,64,Finished,False,
368,19,4,9,8,5.0,64,Finished,True,84451
369,19,14,14,9,2.0,64,Finished,False,
370,19,12,10,10,1.0,64,Finished,False,
371,19,11,17,11,0.0,64,Finished,False,
372,19,10,13,12,0.0,64,Finished,False,
373,19,20,15,13,0.0,64,Finished,False,
374,19,18,11,14,0.0,64,Finished,False,
375,19,13,19,15,0.0,64,Finished,False,
376,19,19,18,16,0.0,63,Finished,False,
377,19,17,12,17,0.0,63,Finished,False,
378,19,15,20,18,0.0,63,Finished,False,
379,19,16,16,,0.0,47,DNF,False,
380,19,9,7,,0.0,4,DNF,False,
381,20,1,1,1,25.0,62,Finished,False,
382,20,4,2,2,18.0,62,Finished,False,
383,20,5,9,3,15.0,62,Finished,False,
384,20,2,3,4,12.0,62,Finished,False,
385,20,6,6,5,10.0,62,Finished,False,
386,20,7,5,6,8.0,62,Finished,False,
387,20,9,4,7,6.0,62,Finished,False,
388,20,11,12,8,4.0,62,Finished,False,
389,20,10,10,9,2.0,62,Finished,False,
390,20,19,18,10,2.0,62,Finished,True,80607
391,20,12,13,11,0.0,62,Finished,False,
392,20,17,14,12,0.0,62,Finished,False,
393,20,20,20,13,0.0,62,Finished,False,
394,20,13,11,14,0.0,62,Finished,False,
395,20,15,19,15,0.0,62,Finished,False,
396,20,14,17,16,0.0,61,Finished,False,
397,20,16,16,17,0.0,61,Finished,False,
398,20,18,15,18,0.0,61,Finished,False,
399,20,8,7,,0.0,41,Accident,False,
400,20,3,8,,0.0,56,DNF,False,
401,21,1,1,1,25.0,59,Finished,False,
402,21,4,4,2,19.0,59,Finished,True,91929
403,21,3,5,3,15.0,59,Finished,False,
404,21,6,8,4,12.0,59,Finished,False,
405,21,2,2,5,10.0,59,Finished,False,
406,21,5,3,6,8.0,59,Finished,False,
407,21,8,7,7,6.0,59,Finished,False,
408,21,7,6,8,4.0,59,Finished,False,
409,21,11,12,9,2.0,59,Finished,False,
410,21,9,10,10,1.0,59,Finished,False,
411,21,12,15,11,0.0,59,Finished,False,
412,21,15,16,12,0.0,59,Finished,False,
413,21,14,13,13,0.0,59,Finished,False,
414,21,16,19,14,0.0,59,Finished,False,
415,21,18,9,15,0.0,59,Finished,False,
416,21,17,17,16,0.0,58,Finished,False,
417,21,13,20,17,0.0,58,Finished,False,
418,21,19,18,18,0.0,58,Finished,False,
419,21,10,14,,0.0,3,DNF,False,
420,21,20,11,,0.0,37,DNF,False,
421,22,1,1,1,25.0,66,Finished,False,
422,22,2,2,2,18.0,66,Finished,False,
423,22,5,5,3,15.0,66,Finished,False,
424,22,8,6,4,13.0,66,Finished,True,90884
425,22,4,3,5,10.0,66,Finished,False,
426,22,7,8,6,8.0,66,Finished,False,
427,22,3,4,7,6.0,66,Finished,False,
428,22,9,10,8,4.0,66,Finished,False,
429,22,11,12,9,2.0,66,Finished,False,
430,22,10,13,10,1.0,66,Finished,False,
431,22,14,19,11,0.0,66,Finished,False,
432,22,13,16,12,0.0,66,Finished,False,
433,22,20,11,13,0.0,66,Finished,False,
434,22,17,15,14,0.0,66,Finished,False,
435,22,18,17,15,0.0,66,Finished,False,
436,22,19,18,16,0.0,65,Finished,False,
437,22,16,14,,0.0,9,DNF,False,
438,22,12,9,,0.0,37,DNF,False,
439,22,6,7,,0.0,6,Accident,False,
440,22,15,20,,0.0,20,DNF,False,
